fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
javassist,asm,3,jboss:javassist;org.javassist:javassist;javassist:javassist,asm:asm;jboss:javassist;org.javassist:javassist;org.ow2.asm:asm-all;javassist:javassist;org.ow2.asm:asm-commons;asm:asm-all;org.ow2.asm:asm
javassist,cglib,1,jboss:javassist;org.javassist:javassist;javassist:javassist,jboss:javassist;cglib:cglib;org.javassist:javassist;javassist:javassist
javolution,trove4j,1,javolution:javolution;org.javolution:javolution,javolution:javolution;org.javolution:javolution;net.sf.trove4j:trove4j
javolution,commons-lang,1,javolution:javolution;org.javolution:javolution,javolution:javolution;org.javolution:javolution;org.apache.commons:commons-lang3;commons-lang:commons-lang
jaxen,xmlParserAPIs,1,jaxen:jaxen,xerces:xmlParserAPIs;jaxen:jaxen;xml-apis:xmlParserAPIs
jaxen,xerces,1,jaxen:jaxen,jaxen:jaxen;xerces:xercesImpl;xerces:xerces
jaxen,jdom,1,jaxen:jaxen,jdom:jdom;org.jdom:jdom2;jaxen:jaxen;org.jdom:jdom
jcommander,args4j,2,com.beust:jcommander,de.weltraumschaf.commons:jcommander;com.beust:jcommander;args4j:args4j
jcommander,jline,1,com.beust:jcommander,de.weltraumschaf.commons:jcommander;org.jline:jline;jline:jline;com.beust:jcommander;org.sonatype.jline:jline
jdom,xmlParserAPIs,5,jdom:jdom;org.jdom:jdom2;org.jdom:jdom,jdom:jdom;org.jdom:jdom2;xerces:xmlParserAPIs;org.jdom:jdom;xml-apis:xmlParserAPIs
jdom,xerces,2,jdom:jdom;org.jdom:jdom2;org.jdom:jdom,jdom:jdom;org.jdom:jdom2;xerces:xercesImpl;xerces:xerces;org.jdom:jdom
jdom,simple-xml,1,jdom:jdom;org.jdom:jdom2;org.jdom:jdom,jdom:jdom;org.jdom:jdom2;org.simpleframework:simple-xml;org.jdom:jdom
jdom,dom4j,1,jdom:jdom;org.jdom:jdom2;org.jdom:jdom,org.dom4j:dom4j;jdom:jdom;org.jdom:jdom2;dom4j:dom4j;org.jdom:jdom
